अमेरिका	Hin
आने	Hin
का	Hin
ख़याल	Hin
या	Hin
विचार	Hin
आपको	Hin
पहले	Hin
से	Hin
था	Hin
,	Punct
बचपन	Hin
से	Hin
,	Punct
या	Hin
फिर	Hin
आपकी	Hin
पढ़ाई	Hin
के	Hin
दौरान	Hin
आपको	Hin
आया	Hin
?	Punct
था	Hin
तो	Hin
बचपन	Hin
से	Hin
।	Punct
मैं	Hin
बचपन	Hin
से	Hin
आना	Hin
चाहता	Hin
था	Hin
क्योंकि	Hin
मेरी	Hin
दीदी	Hin
elder	Eng
sister	Eng
ने	Hin
भी	Hin
IIT	Eng
Bombay	Eng
से	Hin
graduation	Eng
की	Hin
थी	Hin
और	Hin
फिर	Hin
उसके	Hin
बाद	Hin
वे	Hin
U	Eng
.	Punct
S	Eng
.	Punct
आए	Hin
थे	Hin
।	Punct
तो	Hin
मुझे	Hin
बचपन	Hin
से	Hin
ही	Hin
शौक	Hin
तो	Hin
था	Hin
बाहर	Hin
जाने	Hin
का	Hin
but	Eng
..	Punct
मेरा	Hin
बीच	Hin
में	Hin
change	Eng
हो	Hin
गया	Hin
था	Hin
,	Punct
मतलब	Hin
,	Punct
जब	Hin
अपना	Hin
undergraduate	Eng
शुरू	Hin
किया	Hin
मैंने	Hin
,	Punct
वहाँ	Hin
IIT	Eng
Bombay	Eng
पर	Hin
करना	Hin
,	Punct
तो	Hin
मुझे	Hin
ज़्यादा	Hin
MBA	Eng
Master	Eng
of	Eng
business	Eng
administration	Eng
में	Hin
interest	Eng
था	Hin
।	Punct
But	Eng
,	Punct
उसमें	Hin
फिर	Hin
मैंने	Hin
ज़्यादा	Hin
मेहनत	Hin
नही	Hin
की	Hin
थी	Hin
और	Hin
मेरे	Hin
credentials	Eng
,	Punct
higher	Eng
studies	Eng
के	Hin
लिए	Hin
ज़्यादा	Hin
अच्छे	Hin
थे	Hin
तो	Hin
,	Punct
मतलब	Hin
,	Punct
बस	Hin
ऐसा	Hin
इत्तेफ़ाक	Hin
बोलिए	Hin
या	Hin
फिर	Hin
,	Punct
Instance	Eng
,	Punct
coincidence	Eng
बोलिए	Hin
कि	Hin
मैं	Hin
यहाँ	Hin
पर	Hin
हूँ	Hin
।	Punct
मैंने	Hin
कभी	Hin
सोचा	Hin
नही	Hin
था	Hin
कि	Hin
मैं	Hin
कभी	Hin
अमरीका	Hin
आऊंगा	Hin
।	Punct
जैसे	Hin
तुषार	Hin
ने	Hin
सोचा	Hin
था	Hin
कि	Hin
वो	Hin
तो	Hin
बचपन	Hin
से	Hin
सोच	Hin
रहा	Hin
था	Hin
कि	Hin
वो	Hin
अमरीका	Hin
आएगा	Hin
।	Punct
मैंने	Hin
कभी	Hin
सोचा	Hin
नही	Hin
था	Hin
कि	Hin
मैं	Hin
अमरीका	Hin
आऊंगा	Hin
।	Punct
और	Hin
मेरा	Hin
अमरीका	Hin
आना	Hin
एक	Hin
,	Punct
उसके	Hin
पीछे	Hin
भी	Hin
एक	Hin
कहानी	Hin
है	Hin
कि	Hin
मैं	Hin
क्यों	Hin
अमरीका	Hin
आया	Hin
और	Hin
कैसे	Hin
अमरीका	Hin
आया	Hin
।	Punct
सबसे	Hin
बड़ी	Hin
वजह	Hin
मेरी	Hin
अमरीका	Hin
आने	Hin
की	Hin
मेरी	Hin
career	Eng
related	Eng
ही	Hin
थी	Hin
।	Punct
मुझे	Hin
अमरीका	Hin
में	Hin
,	Punct
यहाँ	Hin
पे	Hin
जो	Hin
,	Punct
UT	Eng
Austin	Eng
में	Hin
जो	Hin
Renewable	Eng
energy	Eng
में	Hin
जो	Hin
program	Eng
offer	Eng
हो	Hin
रहा	Hin
था	Hin
वो	Hin
काफ़ी	Hin
अच्छा	Hin
था	Hin
और	Hin
मैंने	Hin
अपने	Hin
प्रोफेसर	Hin
से	Hin
बात	Hin
की	Hin
थी	Hin
और	Hin
मुझे	Hin
काफ़ी	Hin
अच्छा	Hin
लगा	Hin
उनसे	Hin
बात	Hin
कर	Hin
के	Hin
।	Punct
और	Hin
मुझे	Hin
लगा	Hin
कि	Hin
अगर	Hin
मैं	Hin
अमरीका	Hin
जाऊ	Hin
तो	Hin
मेरे	Hin
career	Eng
में	Hin
काफ़ी	Hin
progress	Eng
हो	Hin
सकता	Hin
है	Hin
आगे	Hin
।	Punct
तो	Hin
इसीलिए	Hin
मैंने	Hin
अमरीका	Hin
आने	Hin
का	Hin
सोचा	Hin
और	Hin
आ	Hin
गया	Hin
मैं	Hin
अमरीका	Hin
उस	Hin
तरह	Hin
से	Hin
।	Punct
बचपन	Hin
से	Hin
तो	Hin
खैर	Hin
नही	Hin
था	Hin
पर	Hin
मैं	Hin
देखता	Hin
था	Hin
मेरे	Hin
घर	Hin
में	Hin
मेरी	Hin
मम्मी	Hin
काफ़ी	Hin
विदेश	Hin
जाते	Hin
थे	Hin
tour	Eng
पे	Hin
,	Punct
office	Eng
के	Hin
काम	Hin
से	Hin
।	Punct
तो	Hin
मुझे	Hin
भी	Hin
एक	Hin
उत्सुकता	Hin
होती	Hin
थी	Hin
कि	Hin
कैसा	Hin
लगेगा	Hin
वहाँ	Hin
बाहर	Hin
जाके	Hin
,	Punct
भारत	Hin
से	Hin
बाहर	Hin
कभी	Hin
गये	Hin
नही	Hin
है	Hin
।	Punct
तो	Hin
उसका	Hin
थोडासा	Hin
प्रभाव	Hin
था	Hin
।	Punct
पर	Hin
मुझे	Hin
लगता	Hin
है	Hin
जो	Hin
सबसे	Hin
ज़्यादा	Hin
प्रभाव	Hin
था	Hin
वो	Hin
जब	Hin
मैं	Hin
अपनी	Hin
bachelors	Eng
की	Hin
पढ़ाई	Hin
कर	Hin
रहा	Hin
था	Hin
।	Punct
तब	Hin
मुझे	Hin
लगा	Hin
कि	Hin
bachelors	Eng
से	Hin
ज़्यादा	Hin
,	Punct
कुछ	Hin
उपर	Hin
उससे	Hin
करना	Hin
चाहिए	Hin
मुझे	Hin
।	Punct
पर	Hin
technical	Eng
field	Eng
में	Hin
रहकर	Hin
ही	Hin
।	Punct
तो	Hin
जब	Hin
मैंने	Hin
थोड़ा	Hin
पता	Hin
किया	Hin
,	Punct
सबने	Hin
बताया	Hin
कि	Hin
यहाँ	Hin
पे	Hin
U	Eng
.	Punct
S	Eng
.	Punct
में	Hin
बहुत	Hin
अच्छी	Hin
पढ़ाई	Hin
होती	Hin
है	Hin
,	Punct
opportunities	Eng
हैं	Hin
,	Punct
बहुत	Hin
अच्छे	Hin
universities	Eng
हैं	Hin
जो	Hin
बाहर	Hin
के	Hin
विदेशी	Hin
students	Eng
को	Hin
encourage	Eng
करते	Hin
हैं	Hin
बुलाते	Hin
हैं	Hin
,	Punct
लेते	Hin
हैं	Hin
,	Punct
funding	Eng
opportunities	Eng
भी	Hin
मिलती	Hin
हैं	Hin
और	Hin
फिर	Hin
मेरा	Hin
बड़ा	Hin
भाई	Hin
यहाँ	Hin
पर	Hin
ही	Hin
था	Hin
कुछ	Hin
साल	Hin
पहले	Hin
से	Hin
ही	Hin
।	Punct
तक़रीबन	Hin
चार	Hin
साल	Hin
पहले	Hin
,	Punct
मेरे	Hin
यहाँ	Hin
आने	Hin
से	Hin
,	Punct
वो	Hin
यहाँ	Hin
पर	Hin
था	Hin
।	Punct
वो	Hin
अपने	Hin
अनुभव	Hin
अपने	Hin
experiences	Eng
मेरे	Hin
साथ	Hin
share	Eng
करता	Hin
था	Hin
,	Punct
बताता	Hin
था	Hin
तो	Hin
मुझे	Hin
अच्छा	Hin
लगता	Hin
था	Hin
और	Hin
मुझे	Hin
लगा	Hin
कि	Hin
मुझे	Hin
आना	Hin
चाहिए	Hin
यहाँ	Hin
पे	Hin
,	Punct
पढ़ाई	Hin
करने	Hin
और	Hin
कुछ	Hin
सीखने	Hin
।	Punct
मुझे	Hin
हमेशा	Hin
से	Hin
इंडिया	Hin
से	Hin
बाहर	Hin
जाकर	Hin
कहीं	Hin
पर	Hin
पढ़ना	Hin
था	Hin
master's	Eng
degree	Eng
के	Hin
लिए	Hin
।	Punct
America	Eng
was	Eng
the	Eng
right	Eng
choice	Eng
because	Eng
क्योंकि	Hin
सब	Hin
जानते	Hin
हैं	Hin
कि	Hin
यहाँ	Hin
पे	Hin
जो	Hin
education	Eng
है	Hin
grad	Eng
school	Eng
का	Hin
,	Punct
वो	Hin
सबसे	Hin
best	Eng
है	Hin
पूरे	Hin
world	Eng
में	Hin
और	Hin
...	Punct
also	Eng
क्योंकि	Hin
Americans	Eng
बहुत	Hin
ही	Hin
friendly	Eng
होते	Hin
हैं	Hin
और	Hin
यहाँ	Hin
का	Hin
lifestyle	Eng
वगेरे	Hin
,	Punct
बहुत	Hin
ही	Hin
अच्छा	Hin
है	Hin
मतलब	Hin
,	Punct
सब	Hin
घुल	Hin
-	Punct
मिल	Hin
जाते	Hin
हैं	Hin
तो	Hin
इस	Hin
वजह	Hin
से	Hin
मुझे	Hin
अमेरिका	Hin
ही	Hin
आना	Hin
था	Hin
